Donor,Deflatorvalue
Deutsche Gesellschaft fur Technische Zusammenarbeit - GTZ,1.0154
Deutsche Stiftung,1.0154
Deutsche Telekom,1.0154
Deutsche Welthungerhilfe e.V. (German Agro Action),1.0154
Deutscher Entwicklungsdienst,1.0154
Deutsches Institute für Arztliche Mission,1.0154
Deutsches Komitee fur Katastrophenvorsorge e.V.,1.0154
Devcon,1.0154
Development Aid from People to People,1.0154
Development Alternatives Inc.,1.0154
Development and Peace,1.0154
Development Associates Inc.,1.0154
Development Education Network for Liberia,1.0154
Development Frontiers International,1.0154
Development Initiatives,1.0154
Development Initiatives Access Link,1.0154
Development of Palestinian Farmer Association - Deir Albalah,1.0154
Development Workshop,1.0154
Developmental Action Without Border (Nabaa),1.0154
Developpement & Paix,1.0154
Dewey & LeBoeuf LLP,1.0154
DEZA,1.0154
DF Young Inc.,1.0154
DHL InterNational,1.0154
DIA,1.0154
DIA - Social Justice in development,1.0154
DIA Eritrea/ICCO,1.0154
Diageo,1.0154
Diakonia World Federation,1.0154
"Diakonia, Sweden",1.0154
Diakonie Austria,1.0154
Diakonie Emergency Aid,1.0154
Diakonie Katastrophenhilfe,1.0154
DIAKONISCHES WERK DER EKD,1.0154
Dialog Forening,1.0154
Dialog InterNational e.V.,1.0154
Diamer Poverty Alleviation Programme,1.0154
Digicel Aruba,1.0154
Digicel Foundation,1.0154
Digicel Group,1.0154
Dinah Falala & Phoebe Sandi Foundation,1.0154
Dinsons (H. Sheikh Noor-ud-Dini & Sons),1.0154
DIOBASS,1.0154
Diocese de Hwange,1.0154
Diocese of Ambikapur,1.0154
Diocese of Eldoret,1.0154
Diocese of Gbarnga,1.0154
Diocese of Meru,1.0154
Diocese of Padang,1.0154
Diocese of Rumbek,1.0154
Diplomat Freight Services,1.0154
Diplomatische Akademie Wien,1.0154
Direct Aid,1.0154
Direct Relief InterNational,1.0154
DirectAid,1.0154
Direktoratet for samfunnssikkerhet og beredskap,1.0154
Disabled Children's Care Organization,1.0154
Disaster Mitigation Institute,1.0154
Disaster Prevention and Preparedness Agency,1.0154
Disaster Prevention and Preparedness Commission Ethiopia,1.0154
Disaster Relief Agency,1.0154
Disaster Resource Network,1.0154
Disasters Emergency Committee (UK),1.0154
Discover Financial Services,1.0154
Dispositif National de Prévention et de Gestion des Crises Alimentaires,1.0154
Dissimilis kult.og komp.senter,1.0154
Distribuidora Ambiente,1.0154
Div. Assoc.,1.0154
Div. E+CIS,1.0154
Diverse,1.0154
Djibouti,1.0298
Djibouti Red Crescent Society,1.0154
Djibouti Red Cross,1.0154
DJO Incorporated,1.0154
DKKV - German Committee for Disaster Reduction,1.0154
DMR,1.0154
Docs Heal Africa,1.0154
"DOCS HEAL AFRICA, Goma",1.0154
Doctors of the World,1.0154
Doctors Worldwide,1.0154
Documentation Center of  Cambodia,1.0154
DoES,1.0154
Doha Bank,1.0154
Dollar General Corporation,1.0154
Dominican Republic,1.0042
Don Bosco Mondo Prokur,1.0154
Donegal Peace Centre,1.0154
Donor not reported by agency,1.0154
Dorcas Aid InterNational,1.0154
Double Harvest,1.0154
Douleurs san Frontières,1.0154
Dow Chemical Corporation,1.0154
Dr Pepper Snapple Group ,1.0154
"Dr. Fresh, Inc",1.0154
"DRK, ICRC, IFRC (details not yet provided)",1.0154
DROPS,1.0154
DryLands Coordination Group,1.0154
DSI - Danish Council of Organizations of Disabled People,1.0154
Dubai Cares (UAE),1.0154
Dun & Bradstreet,1.0154
Dunkin Brands,1.0154
DuPont,1.0154
Dutch InterNational Aid,1.0154
Dutch Postcode Lottery,1.0154
DWF,1.0154
DynCorp,1.0154
DZI - German Central Institute for Social Issues ,1.0154
EADRCC - Euro-Atlantic Disaster Response Coord.Centre,1.0154
Eagle Global Logistics,1.0154
Earthquake Relief Fund for Orphans,1.0154
East Bay Community Foundation,1.0154
Eastern Community Development and Humanitarian Organization,1.0154
Eastman Kodak Charitable Trust,1.0154
Eaton Corp,1.0154
EAUR,1.0154
Eaux de Marseille (Société des),1.0154
eBay Foundation,1.0154
EC/UNDP Consortium,1.0154
ECCRD,1.0154
Echelle appui au développement,1.0154
Ecolab Inc.,1.0154
Ecole Polytechnique Fédérale De Lausanne,1.0154
Economic & Social Development Centre of Palestine,1.0154
Economic Community of West African States,1.0154
Economic Research Forum,1.0154
Ecuador,1.0054
Ecuador Red Cross,1.0154
Ecuadorian Red Cross,1.0154
EDF9,1.0154
Edinburgh Direct Aid,1.0154
Edith Wilkins Hope Foundation,1.0154
EDM,1.0154
Education Above All Foundation,1.0154
Education Action InterNational,1.0154
Education Development Center,1.0154
"Education, Health, Social Awareness and Rehabilitation Foundation",1.0154
EFICOR - Evangelical Fellowship of India Commission on Relief ,1.0154
Egypt,0
Egyptian Red Crescent,1.0154
Egyptian Red Crescent Society,1.0154
Eid Charity,1.0154
"Eine Welt Kreis, Zell an der Pram",1.0154
Eine Welt-öö Landlerhilfe,1.0154
Eisai Co. Ltd.,1.0154
EITI - Extractive Industry Transparency Initiative,1.0154
El Barde Primary Helath Care Organization,1.0154
El Obeid,1.0154
El Ruhama for Development and Humanitarian Aid,1.0154
El Ruhama Organization for Development and Humanitarian Aid,1.0154
El Salvador,1.0053
El Salvador Red Cross,1.0154
Electriciens sans frontières,1.0154
Electricite de France,1.0154
Elena Trevisanato Onlus Foundation,1.0154
Eli Lilly ,1.0154
ELIMU,1.0154
EMC Corporation,1.0154
"EMCOR Group, Inc",1.0154
EMERCOM,1.0154
EMERCOM/Mongolia,1.0154
EMERCOM/Russian Federation,1.0154
Emergencies Unit for Ethiopia,1.0154
EMERGENCY,1.0154
Emergency Action Uganda,1.0154
Emergency Architects,1.0154
Emergency Life Support for Civilian War Victims,1.0154
Emergency Management Unit,1.0154
Emergency Nutrition Network,1.0154
Emergency Organization Group Copenhagen,1.0154
Emergency Relief InterNational,1.0154
Emergency Response Fund (OCHA),1.0154
Emmanuel InterNational,1.0154
Emmanuel InterNational of Canada,1.0154
Emmaüs InterNational,1.0154
Empress Shoken Fund,1.0154
ENDESA Group,1.0154
Energy Regulators Regional Association,1.0154
Enfance Tiers Monde asbl,1.0154
Enfants de Cusco,1.0154
Enfants des rizières,1.0154
Enfants du Monde,1.0154
Enfants du Monde - Droits de l'Homme,1.0154
Enfants et Développement,1.0154
Enfants Refugies du Monde ,1.0154
Eng Oppen Hand fir Malawi,1.0154
Enhanced Online News,1.0154
Ensemble Contre la Peine de Mort,1.0154
Entrepreneurs du Monde,1.0154
Environment Africa,1.0154
EO metterdaad,1.0154
EPER Lausanne,1.0154
EPI-Center,1.0154
"Episcopal Conference, Peru",1.0154
Episcopal Relief and Development,1.0154
EPRO,1.0154
EP-Team,1.0154
Equate Petrochemical,1.0154
Equatorial Guinea,0.9344
Equatorial Guinea ,1.0154
Equilibre,1.0154
EQUIP Liberia,1.0154
EQUITAS - InterNational Centre for Human Rights Education,1.0154
ERF Recipients,1.0154
ERF Recipients,1.0154
ERF Recipients Outside Appeals,1.0154
ERIC,1.0154
Ericsson,1.0154
Erika Weissenböck,1.0154
"Erikshjälpen, Sweden",1.0154
Eritrea,1.1064
Ernesto Sabato Foundation,1.0154
Espana con ACNUR,1.0154
ESPE,1.0154
Esperanza InterNational Foundation,1.0154
Estonia,1.0185
Estonia Red Cross,1.0154
Estonian Disaster Relief Team ,1.0154
Estonian Public Service Academy,1.0154
Estonian Public Service Academy ,1.0154
Estonian Rescue Board ,1.0154
Estonian Veterinary and Food Laboratory,1.0154
ETANA Press,1.0154
Ethiopia,1.0547
Ethiopian Mine Action Center,1.0154
Ethiopian Muslims Relief and Development Association,1.0154
Ethiopian Orthodox Church,1.0154
Ethiopian Red Cross,1.0154
Ethiopian Red Cross Society,1.0154
ETHZ/SED/CRAAG,1.0154
EU Special Representative,1.0154
EU/DFSIS,1.0154
Eugene Bell Foundation,1.0154
Eurest Personalrestauranter AS,1.0154
Euro-Mediterranean Foundation of Support to Human Rights Defenders,1.0154
EuronAid,1.0154
European Agency for Reconstruction,1.0154
European Centre for Common Ground/Common Ground,1.0154
European Centre for Conflict Prevention,1.0154
European Children's Trust,1.0154
European Commission,1.0154
European Commission Civil Protection Mechanism,1.0154
European Commission Directorate General for Development,1.0154
European Commission EuropeAid Co-operation Office,1.0154
European Commission EuropeAid Development and Cooperation,1.0154
European Commission Humanitarian Aid Office,1.0154
European Commission Rapid Reaction Mechanism,1.0154
European Committe for Agriculture and Training,1.0154
European Committee for Agriculture and Training,1.0154
European Grassroots Antiracist Movement,1.0154
European Investment Bank,1.0154
European Perspective,1.0154
European Union,1.0154
European Union Border Assistance Mission,1.0154
European Union Programme Support Unit 1,1.0154
European Union Programme Support Unit 2,1.0154
Ev. Zentralstelle e.V.,1.0154
Evangelical Children Rehabilitation Programme,1.0154
Evangelical Development Programme,1.0154
Evangelical Devolpment Programme,1.0154
Evangelical Fellowship of India Commission on Relief,1.0154
Exactmobile (South Africa),1.0154
Excelon Corporation,1.0154
EXNORA,1.0154
Experts Comptables Associés,1.0154
ExxonMobil,1.0154
"F. M. Kirby Foundation, Inc.",1.0154
Fact Mutare,1.0154
Faeroe Islands,1.0154
FAFO ,1.0154
Faire Face,1.0154
Fairfax County Search and Rescue,1.0154
Fairmed,1.0154
FAIRMED Foundation,1.0154
Fairmount Minerals Foundation,1.0154
Family Charitable Organisation,1.0154
Family Empowerment and Relief Organisation,1.0154
Family Health InterNational,1.0154
Family Planning Organization of the Philippines,1.0154
FAO/UNDP,1.0154
FAO/WFP,1.0154
FAR/IRC,1.0154
FAREM,1.0154
FARM Africa,1.0154
Farm Community Trust of Zimbabwe,1.0154
Farmer Life Development Agency,1.0154
Farmers Insurance,1.0154
Farmers Integrated Development Association,1.0154
Faroe Islands,1.0154
Fazilia Trust Pakistan,1.0154
FE Y ALEGRIA,1.0154
FEA Austria DFA/UFAEG,1.0154
FED. I. D. Ligues/Droits l'homme,1.0154
Federal Foreign Office,1.0154
Federation des ONG laiques à Vocation Economique du Congo ,1.0154
Federation InterNationale de Football Association (FIFA),1.0154
Federation of Women Lawyers in Kenya,1.0154
FedEx,1.0154
Feed My Starving Children,1.0154
Feed the Children,1.0154
Feed the Hungry,1.0154
Feinstein Center,1.0154
Fellowship for African Relief,1.0154
Fellowship for African Relief ,1.0154
FERT,1.0154
FEWS,1.0154
FGMed,1.0154
Fiat Group,1.0154
FICASE,1.0154
Fida InterNational (previously Finnish Free Foreign Mission),1.0154
FIDCON,1.0154
Fifth Third Bank,1.0154
Fiji,1.0127
Fiji Institution of Engineers,1.0154
Fiji Red Cross,1.0154
Fiji Red Cross Society,1.0154
FIJIWater,1.0154
Film Aid,1.0154
Finca,1.0154
Finland,1.0214
Finland Red Cross,1.0154
Finnchurchaid,1.0154
Finnchurchaid/Mines Advisory Group,1.0154
Finnish Red Cross,1.0154
Finnish Red Cross/Cambodian Red Cross,1.0154
Firemen without Borders,1.0154
First Data Corporation,1.0154
First Moscow Gymnasium,1.0154
First National Bank of Namibia,1.0154
Fishermen of Christ Incorporated Philippines,1.0154
Flakstad Kommune,1.0154
Flanders Cooperation ,1.0154
Flanders InterNational Red Cross Society,1.0154
Fleet Forum,1.0154
Flemish Office for Development Co-Operation and Technical Assistance,1.0154
Flood Damage Rehabilitation Committee,1.0154
Floresta Ayiti [Plant With Purpose],1.0154
Florida InterNational University,1.0154
Floridon Foundation,1.0154
Flowserve,1.0154
Flüchtlingshilfe Langen e.V.,1.0154
FMYY,1.0154
FOCUS Humanitarian Aid,1.0154
Focus Humanitarian Assistance,1.0154
FOCUS InterNational,1.0154
Foley Hoag LLP,1.0154
Folkekirkens Nodhjaelp,1.0154
Fondasyon Kole Zepol,1.0154
Fondation Assistance InterNationale,1.0154
Fondation Caritas Luxembourg,1.0154
Fondation Chreschte mam Sahel,1.0154
Fondation de France,1.0154
Fondation de l'Ordre de Malte pour le Liban,1.0154
Fondation Femmes plus,1.0154
Fondation Hirondelle,1.0154
Fondation InterNationale Carrefour,1.0154
Fondation Luxembourgeoise Raoul Follereau,1.0154
Fondation Meninos e Meninas de Rua,1.0154
Fondation Orient Occident ,1.0154
FONDATION POUR L INSTITUT,1.0154
Fondation Raoul Follereau,1.0154
Fondation Suisse pour le Déminage,1.0154
Fondazione Un Raggio di Luce,1.0154
Fonds voor OntwikkelingsSamenwerking,1.0154
Fönix Special Rescue Team,1.0154
FONKOZE,1.0154
Food & Agriculture Organization of the United Nations,1.0154
Food Aid Liaison Unit/WFP,1.0154
Food for the Hungry ,1.0154
Food for the Hungry InterNational,1.0154
Food for the Poor,1.0154
Food Security Network,1.0154
Forced Migration Review,1.0154
Ford Foundation,1.0154
Forest for Peace,1.0154
Foresters,1.0154
Formal Education Network for Private Schools,1.0154
Foro Femenino Ma Maeztu,1.0154
Forsvarets forskningsinstitutt,1.0154
Forum for African Women Educationalist Gambia Chapter,1.0154
Forum for Early Warning ,1.0154
FORUT,1.0154
Forward Edge InterNational,1.0154
FOSENET - NGO Food Security Network - Zimbabwe,1.0154
Foster Parents Plan Canada,1.0154
Foundation for Co-existence,1.0154
Foundation for European Development Assistance,1.0154
Foundation for HR and Freedoms and Humanitarian Relief,1.0154
Foundation for Rural Development,1.0154
Foundation for the Future,1.0154
Foundation for the Peoples of the South Pacific International,1.0154
Foundation for the Refugee Trust,1.0154
Foundation Limmat,1.0154
Foundation of the United for Relief and Adiding Development ,1.0154
Foundation Politeon,1.0154
Foundation Signs,1.0154
Foundation Together,1.0154
Foundation Vida Peru,1.0154
Foundation-NL,1.0154
Four Homes of Mercy,1.0154
Foyer Maurice Sixto,1.0154
FPDO,1.0154
FPL Group Foundation,1.0154
France,1.0147
France Cooperation InterNationale,1.0154
France Coopération InterNationale,1.0154
Franciscan Missionary of Mary,1.0154
Franziskaner,1.0154
Fray Rene Giroux Mission,1.0154
"FRAZIMA, S.A.",1.0154
Fred Hollows Foundation,1.0154
Freedom of Expression and of Association,1.0154
Freeport-McMoRan Copper & Gold Inc,1.0154
Freightco,1.0154
French NGOs,1.0154
French Polynesia,1.0154
French Red Cross,1.0154
Frère des Hommes,1.0154
Frères des Hommes,1.0154
Freundschaftsbrucke Deutschland e.V.,1.0154
Freundschaftsbrucke-Kinder der Perestroika e.V,1.0154
Friedensdorf InterNational,1.0154
Friends Foundation,1.0154
"Friends of  UNRWA Association, USA",1.0154
Friends of Love,1.0154
Friendship,1.0154
Front Line,1.0154
Frontiers Ruwad,1.0154
"Frontiers, Ruwad Association",1.0154
FRT,1.0154
FSS,1.0154
Ft. Bernard Kurera,1.0154
Ft. Hubert Leeb,1.0154
Ft. Jakob Krinzinger,1.0154
Ft. Josef Schröger,1.0154
Ft. Karl Kuppelwieser,1.0154
Ft. Petrus Obermüller,1.0154
FTHS,1.0154
Fuel Relief Fund ,1.0154
FUJIFILM Holdings Corporation,1.0154
Fujitsu,1.0154
Full Gospel Assemblies,1.0154
Fund for the Good Living in Muslim Countires,1.0154
Fundación Amalaka,1.0154
Fundación AMEPBO ,1.0154
Fundación Antonio Restrepo Barco,1.0154
Fundación Apoyar,1.0154
Fundacion APY,1.0154
FUNDACION CIPPEC,1.0154
Fundacion de Beneficencia Capacitas,1.0154
Fundacion Imagina,1.0154
FUNDACION LA CAIXA (FLC),1.0154
Fundación Mi Sangre,1.0154
Fundacion para la Libertad de Prensa,1.0154
Fundación para las Relaciones Internacionales y el Diálogo Exterior,1.0154
Fundacion Paz - Holandesa,1.0154
Fundacion Promocion Social de la Cultura,1.0154
Funksjonshemmedes fellesorganisasjon,1.0154
Future of Orphans,1.0154
FXB -  François-Xavier Bagnoud,1.0154
G.havanbedrijf Antwerpen,1.0154
GAAC,1.0154
Gabon,0.9891
Gaddafi InterNational Charity and Development Foundation (GICDF),1.0154
Galicia Humanitarian Agency Foundation,1.0154
Gamarra's Merchant Commission,1.0154
Gambia,1.0154
Gap Inc.,1.0154
GAPAR - Syrian General Authority for Palestine Arab Refugees,1.0154
Gargaaar Relief and Development Organization,1.0154
GAVI Alliance,1.0154
Gaza Community Mental Health Programme,1.0154
Gaza Zakat Committee,1.0154
GCIDS,1.0154
GDPI,1.0154
GE Foundation,1.0154
GEA Society,1.0154
GEAD,1.0154
GECONKFOR/CIMIC,1.0154
Gedo Women Development Organization,1.0154
Gemeinnützige Entwicklungszusammenarbeit GmbH (GEZA),1.0154
Gender Education Empowerment and Leadership Organization,1.0154
General Administration for Palestinian Arab Refugees,1.0154
General Electric,1.0154
General Mills Foundation,1.0154
General Motors Foundation,1.0154
General Secretariat of Awkaf,1.0154
General Service Agency,1.0154
Genesis Software,1.0154
Geneva Call,1.0154
Geneva Forum,1.0154
Geneva Institute for Human Rights,1.0154
Geneva InterNational Centre for Humanitarian Demining,1.0154
GenNX360,1.0154
GeoForschungsZentrum Potsdam,1.0154
Geohazards InterNational,1.0154
"GeoLogistics Services, Inc.",1.0154
Georg Dechentreiter Wohlfahrtsstiftung,1.0154
Georg Fischer (Clean Water Foundation),1.0154
Georgia,1.0013
Georgian Red Cross,1.0154
Gerdau Ameristeel,1.0154
German Development Service,1.0154
German Doctors for Developing Countries,1.0154
German Embassy in Bangladesh,1.0154
German Embassy Sofia,1.0154
"German medical aid organisation ""action medeor""",1.0154
German Mission Herat,1.0154
German Red Cross,1.0154
German Relation Office Ramallah,1.0154
Germany,1.0207
GESA -  Gesundheitshilfe Afghanistan e.V,1.0154
GFC,1.0154
Ghana,1.098
Giant Food Stores,1.0154
"Gibson, Dunn & Crutcher ",1.0154
"Gift of the Givers Foundation (Pietermaritzburg, RSA)",1.0154
Gifts in kind InterNational,1.0154
GIGnos (consulting company),1.0154
Girls are a Treasure Network,1.0154
Give World,1.0154
Give2Asia,1.0154
GKST - Presbyterian Christian Church of Central Sulawesi,1.0154
GlaxoSmithKline,1.0154
Glencree Centre for Peace and Reconciliation,1.0154
GLIA Initiative Project HIV/AIDS,1.0154
Global 2000 of the Carter Centre,1.0154
Global Aid Network,1.0154
Global Alliance for Improved Nutrition,1.0154
Global Centre for the Responsibility to Protect,1.0154
Global Children Foundation,1.0154
Global Communities,1.0154
Global Compact,1.0154
Global Earthquake Model Foundation,1.0154
Global Editors Network,1.0154
Global Facility for Disaster Risk Reduction,1.0154
Global Facility for Disaster Risk Reduction ,1.0154
Global Fire Monitoring Centre,1.0154
Global Food Crisis Fund,1.0154
Global Forum for Media Development,1.0154
Global Forum on Migration and Development,1.0154
Global Fund,1.0154
Global Fund for TB/HIV/AIDS Programme,1.0154
"Global Fund to Fight AIDS, Tuberculosis and Malaria",1.0154
Global H20,1.0154
Global Health Foundation,1.0154
Global Hope Network InterNational,1.0154
Global Human Rights Defence,1.0154
Global Humanitarian Forum,1.0154
Global Initiative to End All Corporal Punishment of Children,1.0154
Global Links,1.0154
Global Medic,1.0154
Global Network of Civil Society Orgs,1.0154
Global One 2015,1.0154
Global Partners,1.0154
Global Public Policy Institute,1.0154
Global Recruitment Fund,1.0154
Global Reporting Initiative,1.0154
Global Resource Services,1.0154
Global Rights,1.0154
Global Thematic Partners,1.0154
GlobalGiving,1.0154
GlobalMedic,1.0154
GMAC,1.0154
GMC Services,1.0154
Go Daddy,1.0154
GOAL,1.0154
GOAL/IRC,1.0154
Gobi Regional Economic Growth Initiative,1.0154
Goddard Enterprises Limited,1.0154
Golden Heart Fund,1.0154
Goldman Sachs Group ,1.0154
Golweyne Relief and Rehabilitation,1.0154
Gol-yome Rehabilitation and Development Organization,1.0154
Good Neighbours Inc,1.0154
Goodrich Corporation,1.0154
Google,1.0154
GORTA,1.0154
Govt of Bosnia & Herzegovina Mine Detection Dog Centre,1.0154
Govt of Ethiopia Disaster Prevention and Preparedness Commission,1.0154
Govt of Indonesia: Bidan Kesehatan Department of Health,1.0154
Govt of Indonesia: Department of Settlement and Regional Infrastructure (Kimpraswil),1.0154
"Goya Foods, Inc.",1.0154
Grand Circle Foundation,1.0154
Grant Foundation,1.0154
Grass Technologies,1.0154
Great Family Organization,1.0154
Great Lakes Initiative Project HIV/AIDS,1.0154
Greece,1.0023
Greece Red Cross,1.0154
Greek Committee For InterNational Democratic Solidarity,1.0154
"Greek Embassy, Tehran",1.0154
"Greek Orthodox Ladies Philoptochos Society, Inc.",1.0154
Greek Orthodox Patriarchate of Antioch and all of the East,1.0154
Green Cross,1.0154
Green Hope,1.0154
"Green Mountain Coffee Roasters, Inc.",1.0154
Greenshields Cowie,1.0154
Grenada,1.0146
GRET,1.0154
"GRONSUND, STEIN OVE",1.0154
Groupe d’Action pour la Promotion de la Femme,1.0154
Groupe de Recherche et de Réalisations pour le Développement Rural,1.0154
Groupe de Recherche et d'Echanges Technologiques,1.0154
GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES,1.0154
Groupe de Secours Catastrophes Francais,1.0154
Groupe La Colombe,1.0154
GROUPE URD,1.0154
Groupement des Artisans ruraux d’INTADENE-GARI,1.0154
Groupement Ingenieria Estrella,1.0154
GRSP - Ghazni Rural Support Program - Afghanistan,1.0154
GRT,1.0154
Grünhelme,1.0154
Grupo Col. - Suisse,1.0154
Grupo Pão de Açúcar,1.0154
Gruppo per le Relazioni Transculturali,1.0154
Gruppo Volontariato Civile,1.0154
Guatemala,1.0358
"Guatemala General Council in Miami, Florida",1.0154
Guatemalan Red Cross ,1.0154
Guilde du Raid,1.0154
Gulf Coast Community Foundation of Venice,1.0154
Gulf Cooperation Council,1.0154
Guyana,1.05
Guyana Red Cross,1.0154
Guyana Red Cross Society,1.0154
Gynécologie sans frontières,1.0154
Gyro AS,1.0154
HA + SHA / IOM,1.0154
Habitat for Humanity InterNational,1.0154
Hadia Medical,1.0154
Haiti,0.9339
Haiti Red Cross,1.0154
Haitian Health Foundation,1.0154
Haitian National Red Cross Society,1.0154
Haitian Women of Miami,1.0154
Hakima,1.0154
Halo Partnership,1.0154
HALO Trust,1.0154
Halte Aux Mines Antipersonnel ,1.0154
Hammer Forum e.V,1.0154
HAMOKED/CNTR DEF.OF INDIVIDUAL,1.0154
"Hand in Hand Appeal, Syria",1.0154
Handicap Atlas Logistique,1.0154
Handicap InterNational,1.0154
Handicap InterNational Belgium,1.0154
Handicap InterNational France,1.0154
Handicap International Luxembourg,1.0154
Handicap International USA,1.0154
Handicap InterNational/France,1.0154
Hands Off Cain,1.0154
Hands Together,1.0154
Hanesbrands ,1.0154
Harikar,1.0154
Harland Clarke Holdings,1.0154
Harris Teeter,1.0154
HARRODS GROUP,1.0154
Hartford Financial Services Group,1.0154
Hartford Financial Services Group,1.0154
Harvard University,1.0154
Hashemite Charity Organization of Jordan,1.0154
Haukari e.V,1.0154
Haut Comité de Secours libanais,1.0154
Have It Your Way Foundation,1.0154
Haven,1.0154
Hawaiian Electric Co.,1.0154
Hayat Foundation,1.0154
HBN,1.0154
HCC-Humanitäre Nothilfeprogramme weltweit,1.0154
HCS,1.0154
Heal Africa,1.0154
Health Alliance InterNational,1.0154
Health and Environment Development Society ,1.0154
Health and Human Rights Info,1.0154
Health And Nutrition Development Society,1.0154
Health Limited,1.0154
Health Link South Sudan,1.0154
Health Net Inc.,1.0154
Health Partners InterNational Canada,1.0154
Health Poverty Action,1.0154
HEALTH UNLIMITED,1.0154
"Health, Development, Information and Policy Institute",1.0154
Healthnet InterNational - Malaria Leishmaniasis Control Programme,1.0154
HealthNet InterNational Transcultural Psychosocial Organisation,1.0154
Healthworkers Community ,1.0154
Heart Doctors,1.0154
Heartland Alliance for Human Needs & Human Rights,1.0154
Heartland Alliance International,1.0154
Heart-to-Heart,1.0154
H-E-B,1.0154
Hebrew Immigrant Aid Society,1.0154
Hedwin Corporation,1.0154
Heilsarmee,1.0154
Heinrich Böll Foundation,1.0154
HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,1.0154
Helen Keller InterNational,1.0154
Helfende Hände e.V.,1.0154
Hellef fir Rosario,1.0154
Hellenic Red Cross,1.0154
Hellenic Rescue Team,1.0154
HELP,1.0154
HELP e.V.,1.0154
Help for school,1.0154
Help In Need,1.0154
Help the Aged,1.0154
HelpAge InterNational,1.0154
HelpAge International UK,1.0154
Helpage Programme - RD Congo,1.0154
Helping Hand for Relief & Development,1.0154
Helping Hand for Relief and Development,1.0154
Helping Hands,1.0154
Helse Bergen HF,1.0154
HELVETAS,1.0154
HEMCO,1.0154
Henry Schein Inc.,1.0154
Heritage Foundation,1.0154
Heshima Kenya,1.0154
Hess Corporation,1.0154
Hewlett-Packard Company Foundation,1.0154
HHB,1.0154
HH-SKH,1.0154
HIAS RefugeeTrust,1.0154
Hidaya Rehabilitation Corporation for Special Need,1.0154
Hijra,1.0154
Hilfe fur Kinder in Not e.V,1.0154
Hilfe zur Selbsthilfe e.V.,1.0154
Hilfsgemeinschaft Lippe e.V,1.0154
Hilfswerk Austria InterNational,1.0154
Hilfswerk Liechtenstein,1.0154
Hilina Enriched Food Processing Center PLC,1.0154
Hillman Family Foundations,1.0154
Hilton Worldwide,1.0154
Himalayan Human Rights Monitors,1.0154
Himilo Organization for Development,1.0154
Himilo Relief and Development Association,1.0154
Hiran Water Supply and Community Development Organisation,1.0154
Hiran Women Action on Advocay for peace & Human Rights,1.0154
Hirondelle Radio Okapi,1.0154
"Hitachi America, Ltd.",1.0154
HIVOS,1.0154
HNA Group,1.0154
Hoffnungszeichen - Sign of Hope e.V,1.0154
Hogar de Cristo Santiago,1.0154
Høgskolen i Oslo,1.0154
Hold the Child Organisation,1.0154
Holistic Management,1.0154
Holt InterNational Childrens Services,1.0154
Holy See,1.0154
Home Depot Foundation,1.0154
Home for Human Rights,1.0154
Honda,1.0154
Honduran Red Cross,1.0154
Honduras,0.9879
Honduras Comité Permanente de Contingencias,1.0154
Honduras Red Cross,1.0154
Honeywell,1.0154
Hong Kong Red Cross,1.0154
Hong Kong Special Administrative Region of the People's Republic of China,1.0154
HOPE,1.0154
Hope for the Horn,1.0154
Hope in Action,1.0154
Hope International Development Agency,1.0154
Hope Worldwide,1.0154
HOPE'87,1.0154
Hopital Albert Schweitzer,1.0154
Hôpital de la Charité d'Oulan-Bator,1.0154
Hôpital Français de Hanoï,1.0154
Hôpital Saint-Joseph,1.0154
Hopital sans Frontières,1.0154
Horizon Foundation for New Jersey,1.0154
Horizont 3000,1.0154
Horizonte Logico,1.0154
Horn of Africa Organization for Protection of Environment and Improvement of Livelihoods,1.0154
Horn Relief,1.0154
Horn-Aid Kenya,1.0154
Horsed Relief and Development Organization,1.0154
Hospital Corporation of America,1.0154
Hospital Hermanos Ameijeiras,1.0154
Housing and Property Directorate,1.0154
Howard Buffet Foundation,1.0154
Høyskolen i Buskerud,1.0154
Høyskolen i Oslo,1.0154
HRG Hogg Robinson Nordic AS,1.0154
Hrúz,1.0154
HSBC,1.0154
HSBC Bank Middle East Limited,1.0154
Huairou Commission,1.0154
Hudec Sedec,1.0154
Hudson's Bay Company,1.0154
Human Appeal InterNational,1.0154
Human Care InterNational,1.0154
Human Concern InterNational,1.0154
Human Development Foundation,1.0154
Human Help Network e.V.,1.0154
Human Moral Care,1.0154
Human Resources Development Agency,1.0154
Human Right Center in Iraq,1.0154
Human Rights and Humanitarian Assistance Foundation,1.0154
Human Rights Division of the United Nations Mission in Angola,1.0154
Human Rights Foundation,1.0154
Human Rights House Foundation ,1.0154
Human Rights Watch,1.0154
Humana Foundation,1.0154
Humane Society of the United States,1.0154
Humanitäre Hilfe für,1.0154
Humanitarian Accountability Partnership InterNational,1.0154
Humanitarian Action for Relief and Development Organisation,1.0154
Humanitarian Action for the People Afghanistan,1.0154
Humanitarian Africa Relief Development Organization,1.0154
Humanitarian Aid and Development Organization,1.0154
Humanitarian Aid Commission,1.0154
Humanitarian Aid Relief Trust,1.0154
Humanitarian Cargo Carriers,1.0154
Humanitarian Forum,1.0154
Humanitarian Forum Indonesia,1.0154
