Recipient Organization,recipientcodename
Development Workshop,NGOs
Developmental Action Without Border (Nabaa),NGOs
Developpement & Paix,NGOs
Dewey & LeBoeuf LLP,private sector corporations
DEZA,DAC governments
DF Young Inc.,private sector corporations
DHL InterNational,private sector corporations
DIA,other
DIA - Social Justice in development,other
DIA Eritrea/ICCO,other
Diageo,private sector corporations
Diakonia World Federation,NGOs
"Diakonia, Sweden",NGOs
Diakonie Austria,NGOs
Diakonie Emergency Aid,NGOs
Diakonie Katastrophenhilfe,NGOs
DIAKONISCHES WERK DER EKD,NGOs
Dialog Forening,other
Dialog InterNational e.V.,private sector corporations
Diamer Poverty Alleviation Programme,NGOs
Digicel Aruba,private sector corporations
Digicel Foundation,foundations
Digicel Group,private sector corporations
Dinah Falala & Phoebe Sandi Foundation,foundations
Dinsons (H. Sheikh Noor-ud-Dini & Sons),private sector corporations
DIOBASS,other
Diocese de Hwange,private individual organisations
Diocese of Ambikapur,private individual organisations
Diocese of Eldoret,private individual organisations
Diocese of Gbarnga,private individual organisations
Diocese of Meru,other
Diocese of Padang,private individual organisations
Diocese of Rumbek,private individual organisations
Diplomat Freight Services,private sector corporations
Diplomatische Akademie Wien,academia/think/research
Direct Aid,NGOs
Direct Relief InterNational,NGOs
DirectAid,NGOs
Direktoratet for samfunnssikkerhet og beredskap,DAC governments
Disabled Children's Care Organization,NGOs
Disaster Mitigation Institute,NGOs
Disaster Prevention and Preparedness Agency,other
Disaster Prevention and Preparedness Commission Ethiopia,NDD
Disaster Relief Agency,NGOs
Disaster Resource Network,NGOs
Disasters Emergency Committee (UK),NGOs
Discover Financial Services,private sector corporations
Dispositif National de Prévention et de Gestion des Crises Alimentaires,other
Dissimilis kult.og komp.senter,other
Distribuidora Ambiente,other
Div. Assoc.,other
Div. E+CIS,other
Diverse,other
Djibouti,NDD
Djibouti Red Crescent Society,Red Cross
Djibouti Red Cross,red cross
DJO Incorporated,other
DKKV - German Committee for Disaster Reduction,DAC governments
DMR,private sector corporations
Docs Heal Africa,NGOs
"DOCS HEAL AFRICA, Goma",NGOs
Doctors of the World,NGOs
Doctors Worldwide,NGOs
Documentation Center of  Cambodia,NGOs
DoES,other
Doha Bank,private sector corporations
Dollar General Corporation,private sector corporations
Dominican Republic,NDD
Don Bosco Mondo Prokur,NGOs
Donegal Peace Centre,other
Donor not reported by agency,other
Dorcas Aid InterNational,NGOs
Double Harvest,NGOs
Douleurs san Frontières,NGOs
Dow Chemical Corporation,private sector corporations
Dr Pepper Snapple Group ,private sector corporations
"Dr. Fresh, Inc",private sector corporations
"DRK, ICRC, IFRC (details not yet provided)",red cross
DROPS,NGOs
DryLands Coordination Group,private individual organisations
DSI - Danish Council of Organizations of Disabled People,NGOs
Dubai Cares (UAE),NGOs
Dun & Bradstreet,private sector corporations
Dunkin Brands,private sector corporations
DuPont,private sector corporations
Dutch InterNational Aid,DAC governments
Dutch Postcode Lottery,other
DWF,other
DynCorp,private sector corporations
DZI - German Central Institute for Social Issues ,DAC governments
EADRCC - Euro-Atlantic Disaster Response Coord.Centre,Other multi
Eagle Global Logistics,private sector corporations
Earthquake Relief Fund for Orphans,NGOs
East Bay Community Foundation,foundations
Eastern Community Development and Humanitarian Organization,NGOs
Eastman Kodak Charitable Trust,private sector corporations
Eaton Corp,private sector corporations
EAUR,other
Eaux de Marseille (Société des),other
eBay Foundation,foundations
EC/UNDP Consortium,other
ECCRD,other
Echelle appui au développement,other
Ecolab Inc.,private sector corporations
Ecole Polytechnique Fédérale De Lausanne,academia/think/research
Economic & Social Development Centre of Palestine,academia/think/research
Economic Community of West African States,Other multi
Economic Research Forum,academia/think/research
Ecuador,NDD
Ecuador Red Cross,red cross
Ecuadorian Red Cross,red cross
EDF9,Other multi
Edinburgh Direct Aid,NGOs
Edith Wilkins Hope Foundation,foundations
EDM,other
Education Above All Foundation,foundations
Education Action InterNational,NGOs
Education Development Center,academia/think/research
"Education, Health, Social Awareness and Rehabilitation Foundation",foundations
EFICOR - Evangelical Fellowship of India Commission on Relief ,NGOs
Egypt,NDD
Egyptian Red Crescent,red cross
Egyptian Red Crescent Society,red cross
Eid Charity,NGOs
"Eine Welt Kreis, Zell an der Pram",other
Eine Welt-öö Landlerhilfe,other
Eisai Co. Ltd.,private sector corporations
EITI - Extractive Industry Transparency Initiative,Other multi
El Barde Primary Helath Care Organization,other
El Obeid,NDD
El Ruhama for Development and Humanitarian Aid,other
El Ruhama Organization for Development and Humanitarian Aid,NGOs
El Salvador,NDD
El Salvador Red Cross,red cross
Electriciens sans frontières,NGOs
Electricite de France,private sector corporations
Elena Trevisanato Onlus Foundation,foundations
Eli Lilly ,private sector corporations
ELIMU,other
EMC Corporation,private sector corporations
"EMCOR Group, Inc",private sector corporations
EMERCOM,NDD
EMERCOM/Mongolia,NDD
EMERCOM/Russian Federation,NDD
Emergencies Unit for Ethiopia,NDD
EMERGENCY,NGOs
Emergency Action Uganda,other
Emergency Architects,NGOs
Emergency Life Support for Civilian War Victims,other
Emergency Management Unit,other
Emergency Nutrition Network,NGOs
Emergency Organization Group Copenhagen,other
Emergency Relief InterNational,NGOs
Emergency Response Fund (OCHA),ERF
Emmanuel InterNational,NGOs
Emmanuel InterNational of Canada,NGOs
Emmaüs InterNational,NGOs
Empress Shoken Fund,private individual organisations
ENDESA Group,private individual organisations
Energy Regulators Regional Association,private individual organisations
Enfance Tiers Monde asbl,NGOs
Enfants de Cusco,NGOs
Enfants des rizières,NGOs
Enfants du Monde,NGOs
Enfants du Monde - Droits de l'Homme,NGOs
Enfants et Développement,NGOs
Enfants Refugies du Monde ,NGOs
Eng Oppen Hand fir Malawi,NGOs
Enhanced Online News,private sector corporations
Ensemble Contre la Peine de Mort,private individual organisations
Entrepreneurs du Monde,NGOs
Environment Africa,NGOs
EO metterdaad,private individual organisations
EPER Lausanne,NGOs
EPI-Center,NGOs
"Episcopal Conference, Peru",academia/think/research
Episcopal Relief and Development,private individual organisations
EPRO,other
EP-Team,other
Equate Petrochemical,private sector corporations
Equatorial Guinea,NDD
Equatorial Guinea ,NDD
Equilibre,foundations
EQUIP Liberia,NGOs
EQUITAS - InterNational Centre for Human Rights Education,academia/think/research
ERF Recipients,Other pooled
ERF Recipients,Other pooled
ERF Recipients Outside Appeals,ERF
ERIC,NGOs
Ericsson,private sector corporations
Erika Weissenböck,other
"Erikshjälpen, Sweden",NGOs
Eritrea,NDD
Ernesto Sabato Foundation,foundations
Espana con ACNUR,UN Multi
ESPE,other
Esperanza InterNational Foundation,foundations
Estonia,NDD
Estonia Red Cross,red cross
Estonian Disaster Relief Team ,NDD
Estonian Public Service Academy,NDD
Estonian Public Service Academy ,NDD
Estonian Rescue Board ,NDD
Estonian Veterinary and Food Laboratory,private sector corporations
ETANA Press,NGOs
Ethiopia,NDD
Ethiopian Mine Action Center,NGOs
Ethiopian Muslims Relief and Development Association,NGOs
Ethiopian Orthodox Church,private individual organisations
Ethiopian Red Cross,red cross
Ethiopian Red Cross Society,red cross
ETHZ/SED/CRAAG,other
EU Special Representative,EC
EU/DFSIS,EC
Eugene Bell Foundation,foundations
Eurest Personalrestauranter AS,private sector corporations
Euro-Mediterranean Foundation of Support to Human Rights Defenders,foundations
EuronAid,NGOs
European Agency for Reconstruction,EC
European Centre for Common Ground/Common Ground,NGOs
European Centre for Conflict Prevention,NGOs
European Children's Trust,NGOs
European Commission,EC
European Commission Civil Protection Mechanism,EC
European Commission Directorate General for Development,EC
European Commission EuropeAid Co-operation Office,EC
European Commission EuropeAid Development and Cooperation,EC
European Commission Humanitarian Aid Office,EC
European Commission Rapid Reaction Mechanism,EC
European Committe for Agriculture and Training,NGOs
European Committee for Agriculture and Training,other
European Grassroots Antiracist Movement,other
European Investment Bank,Other multi
European Perspective,NGOs
European Union,EC
European Union Border Assistance Mission,EC
European Union Programme Support Unit 1,EC
European Union Programme Support Unit 2,EC
Ev. Zentralstelle e.V.,private sector corporations
Evangelical Children Rehabilitation Programme,NGOs
Evangelical Development Programme,private individual organisations
Evangelical Devolpment Programme,private individual organisations
Evangelical Fellowship of India Commission on Relief,private individual organisations
Exactmobile (South Africa),private sector corporations
Excelon Corporation,private sector corporations
EXNORA,NGOs
Experts Comptables Associés,other
ExxonMobil,private sector corporations
"F. M. Kirby Foundation, Inc.",foundations
Fact Mutare,NGOs
Faeroe Islands,NDD
FAFO ,academia/think/research
Faire Face,private individual organisations
Fairfax County Search and Rescue,DAC governments
Fairmed,NGOs
FAIRMED Foundation,foundations
Fairmount Minerals Foundation,foundations
Family Charitable Organisation,private individual organisations
Family Empowerment and Relief Organisation,private individual organisations
Family Health InterNational,private individual organisations
Family Planning Organization of the Philippines,NGOs
FAO/UNDP,UN Multi
FAO/WFP,UN Multi
FAR/IRC,other
FAREM,other
FARM Africa,NGOs
Farm Community Trust of Zimbabwe,NGOs
Farmer Life Development Agency,other
Farmers Insurance,private sector corporations
Farmers Integrated Development Association,private individual organisations
Faroe Islands,NDD
Fazilia Trust Pakistan,other
FE Y ALEGRIA,private individual organisations
FEA Austria DFA/UFAEG,DAC governments
FED. I. D. Ligues/Droits l'homme,NGOs
Federal Foreign Office,DAC governments
Federation des ONG laiques à Vocation Economique du Congo ,NGOs
Federation InterNationale de Football Association (FIFA),private individual organisations
Federation of Women Lawyers in Kenya,private individual organisations
FedEx,private sector corporations
Feed My Starving Children,NGOs
Feed the Children,NGOs
Feed the Hungry,NGOs
Feinstein Center,academia/think/research
Fellowship for African Relief,NGOs
Fellowship for African Relief ,NGOs
FERT,other
FEWS,DAC governments
FGMed,NGOs
Fiat Group,private sector corporations
FICASE,foundations
Fida InterNational (previously Finnish Free Foreign Mission),NGOs
FIDCON,private individual organisations
Fifth Third Bank,private sector corporations
Fiji,NDD
Fiji Institution of Engineers,academia/think/research
Fiji Red Cross,red cross
Fiji Red Cross Society,red cross
FIJIWater,private sector corporations
Film Aid,NGOs
Finca,other
Finland,DAC governments
Finland Red Cross,red cross
Finnchurchaid,NGOs
Finnchurchaid/Mines Advisory Group,NGOs
Finnish Red Cross,red cross
Finnish Red Cross/Cambodian Red Cross,red cross
Firemen without Borders,NGOs
First Data Corporation,private sector corporations
First Moscow Gymnasium,academia/think/research
First National Bank of Namibia,private sector corporations
Fishermen of Christ Incorporated Philippines,NGOs
Flakstad Kommune,other
Flanders Cooperation ,other
Flanders InterNational Red Cross Society,red cross
Fleet Forum,academia/think/research
Flemish Office for Development Co-Operation and Technical Assistance,NGOs
Flood Damage Rehabilitation Committee,NGOs
Floresta Ayiti [Plant With Purpose],private individual organisations
Florida InterNational University,academia/think/research
Floridon Foundation,foundations
Flowserve,private sector corporations
Flüchtlingshilfe Langen e.V.,NGOs
FMYY,private individual organisations
FOCUS Humanitarian Aid,NGOs
Focus Humanitarian Assistance,other
FOCUS InterNational,NGOs
Foley Hoag LLP,private sector corporations
Folkekirkens Nodhjaelp,NGOs
Fondasyon Kole Zepol,foundations
Fondation Assistance InterNationale,foundations
Fondation Caritas Luxembourg,NGOs
Fondation Chreschte mam Sahel,foundations
Fondation de France,foundations
Fondation de l'Ordre de Malte pour le Liban,NGOs
Fondation Femmes plus,foundations
Fondation Hirondelle,foundations
Fondation InterNationale Carrefour,foundations
Fondation Luxembourgeoise Raoul Follereau,foundations
Fondation Meninos e Meninas de Rua,foundations
Fondation Orient Occident ,foundations
FONDATION POUR L INSTITUT,foundations
Fondation Raoul Follereau,foundations
Fondation Suisse pour le Déminage,foundations
Fondazione Un Raggio di Luce,NGOs
Fonds voor OntwikkelingsSamenwerking,NGOs
Fönix Special Rescue Team,private individual organisations
FONKOZE,NGOs
Food & Agriculture Organization of the United Nations,UN Multi
Food Aid Liaison Unit/WFP,UN Multi
Food for the Hungry ,NGOs
Food for the Hungry InterNational,NGOs
Food for the Poor,NGOs
Food Security Network,NGOs
Forced Migration Review,academia/think/research
Ford Foundation,foundations
Forest for Peace,NGOs
Foresters,private individual organisations
Formal Education Network for Private Schools,NGOs
Foro Femenino Ma Maeztu,other
Forsvarets forskningsinstitutt,DAC governments
Forum for African Women Educationalist Gambia Chapter,NGOs
Forum for Early Warning ,NGOs
FORUT,NGOs
Forward Edge InterNational,other
FOSENET - NGO Food Security Network - Zimbabwe,NGOs
Foster Parents Plan Canada,private individual organisations
Foundation for Co-existence,foundations
Foundation for European Development Assistance,foundations
Foundation for HR and Freedoms and Humanitarian Relief,NGOs
Foundation for Rural Development,NGOs
Foundation for the Future,foundations
Foundation for the Peoples of the South Pacific International,foundations
Foundation for the Refugee Trust,foundations
Foundation Limmat,foundations
Foundation of the United for Relief and Adiding Development ,other
Foundation Politeon,foundations
Foundation Signs,foundations
Foundation Together,foundations
Foundation Vida Peru,foundations
Foundation-NL,foundations
Four Homes of Mercy,NGOs
Foyer Maurice Sixto,private individual organisations
FPDO,other
FPL Group Foundation,foundations
France,DAC governments
France Cooperation InterNationale,DAC governments
France Coopération InterNationale,DAC governments
Franciscan Missionary of Mary,private individual organisations
Franziskaner,other
Fray Rene Giroux Mission,other
"FRAZIMA, S.A.",private sector corporations
Fred Hollows Foundation,foundations
Freedom of Expression and of Association,NGOs
Freeport-McMoRan Copper & Gold Inc,private sector corporations
Freightco,private sector corporations
French NGOs,NGOs
French Polynesia,NDD
French Red Cross,red cross
Frère des Hommes,NGOs
Frères des Hommes,NGOs
Freundschaftsbrucke Deutschland e.V.,NGOs
Freundschaftsbrucke-Kinder der Perestroika e.V,other
Friedensdorf InterNational,NGOs
Friends Foundation,foundations
"Friends of  UNRWA Association, USA",NGOs
Friends of Love,NGOs
Friendship,NGOs
Front Line,NGOs
Frontiers Ruwad,NGOs
"Frontiers, Ruwad Association",private individual organisations
FRT,other
FSS,foundations
Ft. Bernard Kurera,private individual organisations
Ft. Hubert Leeb,private individual organisations
Ft. Jakob Krinzinger,private individual organisations
Ft. Josef Schröger,private individual organisations
Ft. Karl Kuppelwieser,private individual organisations
Ft. Petrus Obermüller,private individual organisations
FTHS,other
Fuel Relief Fund ,other
FUJIFILM Holdings Corporation,private sector corporations
Fujitsu,private sector corporations
Full Gospel Assemblies,private individual organisations
Fund for the Good Living in Muslim Countires,other
Fundación Amalaka,foundations
Fundación AMEPBO ,other
Fundación Antonio Restrepo Barco,foundations
Fundación Apoyar,foundations
Fundacion APY,foundations
FUNDACION CIPPEC,foundations
Fundacion de Beneficencia Capacitas,foundations
Fundacion Imagina,foundations
FUNDACION LA CAIXA (FLC),foundations
Fundación Mi Sangre,foundations
Fundacion para la Libertad de Prensa,NGOs
Fundación para las Relaciones Internacionales y el Diálogo Exterior,academia/think/research
Fundacion Paz - Holandesa,foundations
Fundacion Promocion Social de la Cultura,foundations
Funksjonshemmedes fellesorganisasjon,private individual organisations
Future of Orphans,NGOs
FXB -  François-Xavier Bagnoud,NGOs
G.havanbedrijf Antwerpen,other
GAAC,other
Gabon,NDD
Gaddafi InterNational Charity and Development Foundation (GICDF),foundations
Galicia Humanitarian Agency Foundation,NGOs
Gamarra's Merchant Commission,private sector corporations
Gambia,NDD
Gap Inc.,private sector corporations
GAPAR - Syrian General Authority for Palestine Arab Refugees,NDD
Gargaaar Relief and Development Organization,NGOs
GAVI Alliance,other
Gaza Community Mental Health Programme,NGOs
Gaza Zakat Committee,NDD
GCIDS,other
GDPI,other
GE Foundation,foundations
GEA Society,private individual organisations
GEAD,NGOs
GECONKFOR/CIMIC,other
Gedo Women Development Organization,other
Gemeinnützige Entwicklungszusammenarbeit GmbH (GEZA),NGOs
Gender Education Empowerment and Leadership Organization,other
General Administration for Palestinian Arab Refugees,NDD
General Electric,private sector corporations
General Mills Foundation,foundations
General Motors Foundation,foundations
General Secretariat of Awkaf,other
General Service Agency,other
Genesis Software,private sector corporations
Geneva Call,NGOs
Geneva Forum,UN Multi
Geneva Institute for Human Rights,academia/think/research
Geneva InterNational Centre for Humanitarian Demining,NGOs
GenNX360,private sector corporations
GeoForschungsZentrum Potsdam,academia/think/research
Geohazards InterNational,NGOs
"GeoLogistics Services, Inc.",private sector corporations
Georg Dechentreiter Wohlfahrtsstiftung,foundations
Georg Fischer (Clean Water Foundation),foundations
Georgia,NDD
Georgian Red Cross,red cross
Gerdau Ameristeel,private sector corporations
German Development Service,other
German Doctors for Developing Countries,NGOs
German Embassy in Bangladesh,DAC governments
German Embassy Sofia,DAC governments
"German medical aid organisation ""action medeor""",NGOs
German Mission Herat,private individual organisations
German Red Cross,red cross
German Relation Office Ramallah,DAC governments
Germany,DAC governments
GESA -  Gesundheitshilfe Afghanistan e.V,other
GFC,other
Ghana,NDD
Giant Food Stores,private sector corporations
"Gibson, Dunn & Crutcher ",private sector corporations
"Gift of the Givers Foundation (Pietermaritzburg, RSA)",foundations
Gifts in kind InterNational,NGOs
GIGnos (consulting company),private sector corporations
Girls are a Treasure Network,NGOs
Give World,private individual organisations
Give2Asia,private individual organisations
GKST - Presbyterian Christian Church of Central Sulawesi,private individual organisations
GlaxoSmithKline,private sector corporations
Glencree Centre for Peace and Reconciliation,NGOs
GLIA Initiative Project HIV/AIDS,Other multi
Global 2000 of the Carter Centre,academia/think/research
Global Aid Network,NGOs
Global Alliance for Improved Nutrition,UN Multi
Global Centre for the Responsibility to Protect,academia/think/research
Global Children Foundation,foundations
Global Communities,NGOs
Global Compact,UN Multi
Global Earthquake Model Foundation,foundations
Global Editors Network,private individual organisations
Global Facility for Disaster Risk Reduction,Other multi
Global Facility for Disaster Risk Reduction ,Other multi
Global Fire Monitoring Centre,UN Multi
Global Food Crisis Fund,other
Global Forum for Media Development,private individual organisations
Global Forum on Migration and Development,private individual organisations
Global Fund,Other pooled
Global Fund for TB/HIV/AIDS Programme,Other pooled
"Global Fund to Fight AIDS, Tuberculosis and Malaria",Other pooled
Global H20,NGOs
Global Health Foundation,foundations
Global Hope Network InterNational,private individual organisations
Global Human Rights Defence,NGOs
Global Humanitarian Forum,private individual organisations
Global Initiative to End All Corporal Punishment of Children,other
Global Links,other
Global Medic,foundations
Global Network of Civil Society Orgs,private individual organisations
Global One 2015,NGOs
Global Partners,other
Global Public Policy Institute,academia/think/research
Global Recruitment Fund,other
Global Reporting Initiative,academia/think/research
Global Resource Services,NGOs
Global Rights,NGOs
Global Thematic Partners,private individual organisations
GlobalGiving,NGOs
GlobalMedic,NGOs
GMAC,other
GMC Services,private sector corporations
Go Daddy,private sector corporations
GOAL,NGOs
GOAL/IRC,NGOs
Gobi Regional Economic Growth Initiative,NGOs
Goddard Enterprises Limited,private sector corporations
Golden Heart Fund,other
Goldman Sachs Group ,private sector corporations
Golweyne Relief and Rehabilitation,NGOs
Gol-yome Rehabilitation and Development Organization,other
Good Neighbours Inc,NGOs
Goodrich Corporation,private sector corporations
Google,private sector corporations
GORTA,NGOs
Govt of Bosnia & Herzegovina Mine Detection Dog Centre,NDD
Govt of Ethiopia Disaster Prevention and Preparedness Commission,NDD
Govt of Indonesia: Bidan Kesehatan Department of Health,NDD
Govt of Indonesia: Department of Settlement and Regional Infrastructure (Kimpraswil),NDD
"Goya Foods, Inc.",private sector corporations
Grand Circle Foundation,foundations
Grant Foundation,foundations
Grass Technologies,private sector corporations
Great Family Organization,private individual organisations
Great Lakes Initiative Project HIV/AIDS,Other multi
Greece,DAC governments
Greece Red Cross,red cross
Greek Committee For InterNational Democratic Solidarity,NGOs
"Greek Embassy, Tehran",DAC governments
"Greek Orthodox Ladies Philoptochos Society, Inc.",NGOs
Greek Orthodox Patriarchate of Antioch and all of the East,other
Green Cross,NGOs
Green Hope,NGOs
"Green Mountain Coffee Roasters, Inc.",private sector corporations
Greenshields Cowie,private sector corporations
Grenada,NDD
GRET,NGOs
"GRONSUND, STEIN OVE",private individual organisations
Groupe d’Action pour la Promotion de la Femme,other
Groupe de Recherche et de Réalisations pour le Développement Rural,NGOs
Groupe de Recherche et d'Echanges Technologiques,private individual organisations
GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES,private individual organisations
Groupe de Secours Catastrophes Francais,NGOs
Groupe La Colombe,private sector corporations
GROUPE URD,academia/think/research
Groupement des Artisans ruraux d’INTADENE-GARI,other
Groupement Ingenieria Estrella,other
GRSP - Ghazni Rural Support Program - Afghanistan,NGOs
GRT,other
Grünhelme,NGOs
Grupo Col. - Suisse,other
Grupo Pão de Açúcar,private sector corporations
Gruppo per le Relazioni Transculturali,NGOs
Gruppo Volontariato Civile,NGOs
Guatemala,NDD
"Guatemala General Council in Miami, Florida",NDD
Guatemalan Red Cross ,red cross
Guilde du Raid,NGOs
Gulf Coast Community Foundation of Venice,foundations
Gulf Cooperation Council,Other multi
Guyana,NDD
Guyana Red Cross,red cross
Guyana Red Cross Society,red cross
Gynécologie sans frontières,NGOs
Gyro AS,private sector corporations
HA + SHA / IOM,other
Habitat for Humanity InterNational,NGOs
Hadia Medical,NGOs
Haiti,NDD
Haiti Red Cross,red cross
Haitian Health Foundation,foundations
Haitian National Red Cross Society,red cross
Haitian Women of Miami,private sector corporations
Hakima,other
Halo Partnership,NGOs
HALO Trust,NGOs
Halte Aux Mines Antipersonnel ,NGOs
Hammer Forum e.V,NGOs
HAMOKED/CNTR DEF.OF INDIVIDUAL,NGOs
"Hand in Hand Appeal, Syria",NGOs
Handicap Atlas Logistique,NGOs
Handicap InterNational,NGOs
Handicap InterNational Belgium,NGOs
Handicap InterNational France,NGOs
Handicap International Luxembourg,NGOs
Handicap International USA,NGOs
Handicap InterNational/France,NGOs
Hands Off Cain,other
Hands Together,NGOs
Hanesbrands ,private sector corporations
Harikar,NGOs
Harland Clarke Holdings,private sector corporations
Harris Teeter,private sector corporations
HARRODS GROUP,private sector corporations
Hartford Financial Services Group,private sector corporations
Hartford Financial Services Group,private sector corporations
Harvard University,academia/think/research
Hashemite Charity Organization of Jordan,NGOs
Haukari e.V,NGOs
Haut Comité de Secours libanais,NGOs
Have It Your Way Foundation,foundations
Haven,private sector corporations
Hawaiian Electric Co.,private sector corporations
Hayat Foundation,NGOs
HBN,private sector corporations
HCC-Humanitäre Nothilfeprogramme weltweit,NGOs
HCS,other
Heal Africa,private individual organisations
Health Alliance InterNational,NGOs
Health and Environment Development Society ,other
Health and Human Rights Info,private individual organisations
Health And Nutrition Development Society,NGOs
Health Limited,private sector corporations
Health Link South Sudan,NGOs
Health Net Inc.,private sector corporations
Health Partners InterNational Canada,NGOs
Health Poverty Action,NGOs
HEALTH UNLIMITED,NGOs
"Health, Development, Information and Policy Institute",NGOs
Healthnet InterNational - Malaria Leishmaniasis Control Programme,NGOs
HealthNet InterNational Transcultural Psychosocial Organisation,NGOs
Healthworkers Community ,private individual organisations
Heart Doctors,NGOs
Heartland Alliance for Human Needs & Human Rights,NGOs
Heartland Alliance International,academia/think/research
Heart-to-Heart,NGOs
H-E-B,private sector corporations
Hebrew Immigrant Aid Society,other
Hedwin Corporation,private sector corporations
Heilsarmee,private individual organisations
Heinrich Böll Foundation,foundations
HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,NGOs
Helen Keller InterNational,NGOs
Helfende Hände e.V.,NGOs
Hellef fir Rosario,NGOs
Hellenic Red Cross,red cross
Hellenic Rescue Team,NGOs
HELP,NGOs
HELP e.V.,NGOs
Help for school,NGOs
Help In Need,other
Help the Aged,NGOs
HelpAge InterNational,NGOs
HelpAge International UK,NGOs
Helpage Programme - RD Congo,NGOs
Helping Hand for Relief & Development,other
Helping Hand for Relief and Development,NGOs
Helping Hands,private sector corporations
Helse Bergen HF,academia/think/research
HELVETAS,NGOs
HEMCO,private sector corporations
Henry Schein Inc.,private sector corporations
Heritage Foundation,academia/think/research
Heshima Kenya,NGOs
Hess Corporation,private sector corporations
Hewlett-Packard Company Foundation,foundations
HHB,other
HH-SKH,other
HIAS RefugeeTrust,other
Hidaya Rehabilitation Corporation for Special Need,other
Hijra,private individual organisations
Hilfe fur Kinder in Not e.V,NGOs
Hilfe zur Selbsthilfe e.V.,NGOs
Hilfsgemeinschaft Lippe e.V,NGOs
Hilfswerk Austria InterNational,NGOs
Hilfswerk Liechtenstein,NGOs
Hilina Enriched Food Processing Center PLC,private sector corporations
Hillman Family Foundations,foundations
Hilton Worldwide,private sector corporations
Himalayan Human Rights Monitors,NGOs
Himilo Organization for Development,NGOs
Himilo Relief and Development Association,NGOs
Hiran Water Supply and Community Development Organisation,private individual organisations
Hiran Women Action on Advocay for peace & Human Rights,NGOs
Hirondelle Radio Okapi,foundations
"Hitachi America, Ltd.",private sector corporations
HIVOS,NGOs
HNA Group,private sector corporations
Hoffnungszeichen - Sign of Hope e.V,NGOs
Hogar de Cristo Santiago,NGOs
Høgskolen i Oslo,academia/think/research
Hold the Child Organisation,other
Holistic Management,NGOs
Holt InterNational Childrens Services,other
Holy See,NDD
Home Depot Foundation,foundations
Home for Human Rights,NGOs
Honda,private sector corporations
Honduran Red Cross,red cross
Honduras,NDD
Honduras Comité Permanente de Contingencias,NGOs
Honduras Red Cross,red cross
Honeywell,private sector corporations
Hong Kong Red Cross,red cross
Hong Kong Special Administrative Region of the People's Republic of China,NDD
HOPE,NGOs
Hope for the Horn,NGOs
Hope in Action,NGOs
Hope International Development Agency,NGOs
Hope Worldwide,NGOs
HOPE'87,NGOs
Hopital Albert Schweitzer,other
Hôpital de la Charité d'Oulan-Bator,NGOs
Hôpital Français de Hanoï,private individual organisations
Hôpital Saint-Joseph,private individual organisations
Hopital sans Frontières,NGOs
Horizon Foundation for New Jersey,foundations
Horizont 3000,NGOs
Horizonte Logico,NGOs
Horn of Africa Organization for Protection of Environment and Improvement of Livelihoods,NGOs
Horn Relief,NGOs
Horn-Aid Kenya,NGOs
Horsed Relief and Development Organization,private individual organisations
Hospital Corporation of America,private sector corporations
Hospital Hermanos Ameijeiras,NGOs
Housing and Property Directorate,other
Howard Buffet Foundation,foundations
Høyskolen i Buskerud,academia/think/research
Høyskolen i Oslo,academia/think/research
HRG Hogg Robinson Nordic AS,private sector corporations
Hrúz,private sector corporations
HSBC,private sector corporations
HSBC Bank Middle East Limited,private sector corporations
Huairou Commission,other
Hudec Sedec,private individual organisations
Hudson's Bay Company,private sector corporations
Human Appeal InterNational,NGOs
Human Care InterNational,NGOs
Human Concern InterNational,NGOs
Human Development Foundation,foundations
Human Help Network e.V.,NGOs
Human Moral Care,NGOs
Human Resources Development Agency,NGOs
Human Right Center in Iraq,NGOs
Human Rights and Humanitarian Assistance Foundation,foundations
Human Rights Division of the United Nations Mission in Angola,UN Multi
Human Rights Foundation,NGOs
Human Rights House Foundation ,foundations
Human Rights Watch,NGOs
Humana Foundation,foundations
Humane Society of the United States,academia/think/research
Humanitäre Hilfe für,NGOs
Humanitarian Accountability Partnership InterNational,NGOs
Humanitarian Action for Relief and Development Organisation,NGOs
Humanitarian Action for the People Afghanistan,other
Humanitarian Africa Relief Development Organization,private individual organisations
Humanitarian Aid and Development Organization,other
Humanitarian Aid Commission,NDD
Humanitarian Aid Relief Trust,NGOs
Humanitarian Cargo Carriers,other
Humanitarian Forum,private individual organisations
Humanitarian Forum Indonesia,other
Humanitarian Initiative Just Relief Aid Organizaiton,other
Humanitarian Initiative Just Relief Aid Organization,other
Humanitarian Outcomes,academia/think/research
Humanitarian Policy and Conflict Research,academia/think/research
Humanitarian Policy Group,academia/think/research
Humanitarian Relief Foundation,NGOs
HumaniTerra InterNational,NGOs
Humanity Brotherhood Association  for Human Rights,NGOs
Humanity First,other
Humanity First USA,NGOs
Humedia InterNational,NGOs
Humedica,NGOs
Hungarian Baptist  Aid Organisation,NGOs
Hungarian Interchurch Aid,NGOs
Hungarian Malteser Charity Service,NGOs
Hungarian Red Cross,red cross
Hungary,NDD
Hungary Red Cross,red cross
Hunger Alert,NGOs
Hydration Technology Innovations,private sector corporations
"Hyogo Prefecture, Japan",DAC governments
Hyundai Motor Company,private sector corporations
