Donor,privatemoney
Disaster Relief Agency,no
Disaster Resource Network,no
Disasters Emergency Committee (UK),private
Discover Financial Services,private
Dispositif National de Prévention et de Gestion des Crises Alimentaires,no
Dissimilis kult.og komp.senter,no
Distribuidora Ambiente,no
Div. Assoc.,no
Div. E+CIS,no
Diverse,no
Djibouti,no
Djibouti Red Crescent Society,no
Djibouti Red Cross,no
DJO Incorporated,no
DKKV - German Committee for Disaster Reduction,no
DMR,private
Docs Heal Africa,no
"DOCS HEAL AFRICA, Goma",no
Doctors of the World,no
Doctors Worldwide,no
Documentation Center of  Cambodia,no
DoES,no
Doha Bank,private
Dollar General Corporation,private
Dominican Republic,no
Don Bosco Mondo Prokur,no
Donegal Peace Centre,no
Donor not reported by agency,no
Dorcas Aid InterNational,no
Double Harvest,no
Douleurs san Frontières,no
Dow Chemical Corporation,private
Dr Pepper Snapple Group ,private
"Dr. Fresh, Inc",private
"DRK, ICRC, IFRC (details not yet provided)",no
DROPS,no
DryLands Coordination Group,private
DSI - Danish Council of Organizations of Disabled People,no
Dubai Cares (UAE),no
Dun & Bradstreet,private
Dunkin Brands,private
DuPont,private
Dutch InterNational Aid,no
Dutch Postcode Lottery,no
DWF,no
DynCorp,private
DZI - German Central Institute for Social Issues ,no
EADRCC - Euro-Atlantic Disaster Response Coord.Centre,no
Eagle Global Logistics,private
Earthquake Relief Fund for Orphans,no
East Bay Community Foundation,private
Eastern Community Development and Humanitarian Organization,no
Eastman Kodak Charitable Trust,private
Eaton Corp,private
EAUR,no
Eaux de Marseille (Société des),no
eBay Foundation,private
EC/UNDP Consortium,no
ECCRD,no
Echelle appui au développement,no
Ecolab Inc.,private
Ecole Polytechnique Fédérale De Lausanne,no
Economic & Social Development Centre of Palestine,no
Economic Community of West African States,no
Economic Research Forum,no
Ecuador,no
Ecuador Red Cross,no
Ecuadorian Red Cross,no
EDF9,no
Edinburgh Direct Aid,no
Edith Wilkins Hope Foundation,private
EDM,no
Education Above All Foundation,private
Education Action InterNational,no
Education Development Center,no
"Education, Health, Social Awareness and Rehabilitation Foundation",private
EFICOR - Evangelical Fellowship of India Commission on Relief ,no
Egypt,no
Egyptian Red Crescent,no
Egyptian Red Crescent Society,no
Eid Charity,no
"Eine Welt Kreis, Zell an der Pram",no
Eine Welt-öö Landlerhilfe,no
Eisai Co. Ltd.,private
EITI - Extractive Industry Transparency Initiative,no
El Barde Primary Helath Care Organization,no
El Obeid,no
El Ruhama for Development and Humanitarian Aid,no
El Ruhama Organization for Development and Humanitarian Aid,no
El Salvador,no
El Salvador Red Cross,no
Electriciens sans frontières,no
Electricite de France,private
Elena Trevisanato Onlus Foundation,private
Eli Lilly ,private
ELIMU,no
EMC Corporation,private
"EMCOR Group, Inc",private
EMERCOM,no
EMERCOM/Mongolia,no
EMERCOM/Russian Federation,no
Emergencies Unit for Ethiopia,no
EMERGENCY,no
Emergency Action Uganda,no
Emergency Architects,no
Emergency Life Support for Civilian War Victims,no
Emergency Management Unit,no
Emergency Nutrition Network,no
Emergency Organization Group Copenhagen,no
Emergency Relief InterNational,no
Emergency Response Fund (OCHA),no
Emmanuel InterNational,no
Emmanuel InterNational of Canada,no
Emmaüs InterNational,no
Empress Shoken Fund,private
ENDESA Group,private
Energy Regulators Regional Association,private
Enfance Tiers Monde asbl,no
Enfants de Cusco,no
Enfants des rizières,no
Enfants du Monde,no
Enfants du Monde - Droits de l'Homme,no
Enfants et Développement,no
Enfants Refugies du Monde ,no
Eng Oppen Hand fir Malawi,no
Enhanced Online News,private
Ensemble Contre la Peine de Mort,private
Entrepreneurs du Monde,no
Environment Africa,no
EO metterdaad,private
EPER Lausanne,no
EPI-Center,no
"Episcopal Conference, Peru",no
Episcopal Relief and Development,private
EPRO,no
EP-Team,no
Equate Petrochemical,private
Equatorial Guinea,no
Equatorial Guinea ,no
Equilibre,private
EQUIP Liberia,no
EQUITAS - InterNational Centre for Human Rights Education,no
ERF Recipients,no
ERF Recipients,no
ERF Recipients Outside Appeals,no
ERIC,no
Ericsson,private
Erika Weissenböck,no
"Erikshjälpen, Sweden",no
Eritrea,no
Ernesto Sabato Foundation,private
Espana con ACNUR,no
ESPE,no
Esperanza InterNational Foundation,private
Estonia,no
Estonia Red Cross,no
Estonian Disaster Relief Team ,no
Estonian Public Service Academy,no
Estonian Public Service Academy ,no
Estonian Rescue Board ,no
Estonian Veterinary and Food Laboratory,private
ETANA Press,no
Ethiopia,no
Ethiopian Mine Action Center,no
Ethiopian Muslims Relief and Development Association,no
Ethiopian Orthodox Church,private
Ethiopian Red Cross,no
Ethiopian Red Cross Society,no
ETHZ/SED/CRAAG,no
EU Special Representative,no
EU/DFSIS,no
Eugene Bell Foundation,private
Eurest Personalrestauranter AS,private
Euro-Mediterranean Foundation of Support to Human Rights Defenders,private
EuronAid,no
European Agency for Reconstruction,no
European Centre for Common Ground/Common Ground,no
European Centre for Conflict Prevention,no
European Children's Trust,no
European Commission,no
European Commission Civil Protection Mechanism,no
European Commission Directorate General for Development,no
European Commission EuropeAid Co-operation Office,no
European Commission EuropeAid Development and Cooperation,no
European Commission Humanitarian Aid Office,no
European Commission Rapid Reaction Mechanism,no
European Committe for Agriculture and Training,no
European Committee for Agriculture and Training,no
European Grassroots Antiracist Movement,no
European Investment Bank,no
European Perspective,no
European Union,no
European Union Border Assistance Mission,no
European Union Programme Support Unit 1,no
European Union Programme Support Unit 2,no
Ev. Zentralstelle e.V.,private
Evangelical Children Rehabilitation Programme,no
Evangelical Development Programme,private
Evangelical Devolpment Programme,private
Evangelical Fellowship of India Commission on Relief,private
Exactmobile (South Africa),private
Excelon Corporation,private
EXNORA,no
Experts Comptables Associés,no
ExxonMobil,private
"F. M. Kirby Foundation, Inc.",private
Fact Mutare,no
Faeroe Islands,no
FAFO ,no
Faire Face,private
Fairfax County Search and Rescue,no
Fairmed,no
FAIRMED Foundation,private
Fairmount Minerals Foundation,private
Family Charitable Organisation,private
Family Empowerment and Relief Organisation,private
Family Health InterNational,private
Family Planning Organization of the Philippines,no
FAO/UNDP,no
FAO/WFP,no
FAR/IRC,no
FAREM,no
FARM Africa,no
Farm Community Trust of Zimbabwe,no
Farmer Life Development Agency,no
Farmers Insurance,private
Farmers Integrated Development Association,private
Faroe Islands,no
Fazilia Trust Pakistan,no
FE Y ALEGRIA,private
FEA Austria DFA/UFAEG,no
FED. I. D. Ligues/Droits l'homme,no
Federal Foreign Office,no
Federation des ONG laiques à Vocation Economique du Congo ,no
Federation InterNationale de Football Association (FIFA),private
Federation of Women Lawyers in Kenya,private
FedEx,private
Feed My Starving Children,no
Feed the Children,no
Feed the Hungry,no
Feinstein Center,no
Fellowship for African Relief,no
Fellowship for African Relief ,no
FERT,no
FEWS,no
FGMed,no
Fiat Group,private
FICASE,private
Fida InterNational (previously Finnish Free Foreign Mission),no
FIDCON,private
Fifth Third Bank,private
Fiji,no
Fiji Institution of Engineers,no
Fiji Red Cross,no
Fiji Red Cross Society,no
FIJIWater,private
Film Aid,no
Finca,no
Finland,no
Finland Red Cross,no
Finnchurchaid,no
Finnchurchaid/Mines Advisory Group,no
Finnish Red Cross,no
Finnish Red Cross/Cambodian Red Cross,no
Firemen without Borders,no
First Data Corporation,private
First Moscow Gymnasium,no
First National Bank of Namibia,private
Fishermen of Christ Incorporated Philippines,no
Flakstad Kommune,no
Flanders Cooperation ,no
Flanders InterNational Red Cross Society,no
Fleet Forum,no
Flemish Office for Development Co-Operation and Technical Assistance,no
Flood Damage Rehabilitation Committee,no
Floresta Ayiti [Plant With Purpose],private
Florida InterNational University,no
Floridon Foundation,private
Flowserve,private
Flüchtlingshilfe Langen e.V.,no
FMYY,private
FOCUS Humanitarian Aid,no
Focus Humanitarian Assistance,no
FOCUS InterNational,no
Foley Hoag LLP,private
Folkekirkens Nodhjaelp,no
Fondasyon Kole Zepol,private
Fondation Assistance InterNationale,private
Fondation Caritas Luxembourg,no
Fondation Chreschte mam Sahel,private
Fondation de France,private
Fondation de l'Ordre de Malte pour le Liban,no
Fondation Femmes plus,private
Fondation Hirondelle,private
Fondation InterNationale Carrefour,private
Fondation Luxembourgeoise Raoul Follereau,private
Fondation Meninos e Meninas de Rua,private
Fondation Orient Occident ,private
FONDATION POUR L INSTITUT,private
Fondation Raoul Follereau,private
Fondation Suisse pour le Déminage,private
Fondazione Un Raggio di Luce,no
Fonds voor OntwikkelingsSamenwerking,no
Fönix Special Rescue Team,private
FONKOZE,no
Food & Agriculture Organization of the United Nations,no
Food Aid Liaison Unit/WFP,no
Food for the Hungry ,no
Food for the Hungry InterNational,no
Food for the Poor,no
Food Security Network,no
Forced Migration Review,no
Ford Foundation,private
Forest for Peace,no
Foresters,private
Formal Education Network for Private Schools,no
Foro Femenino Ma Maeztu,no
Forsvarets forskningsinstitutt,no
Forum for African Women Educationalist Gambia Chapter,no
Forum for Early Warning ,no
FORUT,no
Forward Edge InterNational,no
FOSENET - NGO Food Security Network - Zimbabwe,no
Foster Parents Plan Canada,private
Foundation for Co-existence,private
Foundation for European Development Assistance,private
Foundation for HR and Freedoms and Humanitarian Relief,no
Foundation for Rural Development,no
Foundation for the Future,private
Foundation for the Peoples of the South Pacific International,private
Foundation for the Refugee Trust,private
Foundation Limmat,private
Foundation of the United for Relief and Adiding Development ,no
Foundation Politeon,private
Foundation Signs,private
Foundation Together,private
Foundation Vida Peru,private
Foundation-NL,private
Four Homes of Mercy,no
Foyer Maurice Sixto,private
FPDO,no
FPL Group Foundation,private
France,no
France Cooperation InterNationale,no
France Coopération InterNationale,no
Franciscan Missionary of Mary,private
Franziskaner,no
Fray Rene Giroux Mission,no
"FRAZIMA, S.A.",private
Fred Hollows Foundation,private
Freedom of Expression and of Association,no
Freeport-McMoRan Copper & Gold Inc,private
Freightco,private
French NGOs,no
French Polynesia,no
French Red Cross,no
Frère des Hommes,no
Frères des Hommes,no
Freundschaftsbrucke Deutschland e.V.,no
Freundschaftsbrucke-Kinder der Perestroika e.V,no
Friedensdorf InterNational,no
Friends Foundation,private
"Friends of  UNRWA Association, USA",private
Friends of Love,no
Friendship,no
Front Line,no
Frontiers Ruwad,no
"Frontiers, Ruwad Association",private
FRT,no
FSS,private
Ft. Bernard Kurera,private
Ft. Hubert Leeb,private
Ft. Jakob Krinzinger,private
Ft. Josef Schröger,private
Ft. Karl Kuppelwieser,private
Ft. Petrus Obermüller,private
FTHS,no
Fuel Relief Fund ,no
FUJIFILM Holdings Corporation,private
Fujitsu,private
Full Gospel Assemblies,private
Fund for the Good Living in Muslim Countires,no
Fundación Amalaka,private
Fundación AMEPBO ,no
Fundación Antonio Restrepo Barco,private
Fundación Apoyar,private
Fundacion APY,private
FUNDACION CIPPEC,private
Fundacion de Beneficencia Capacitas,private
Fundacion Imagina,private
FUNDACION LA CAIXA (FLC),private
Fundación Mi Sangre,private
Fundacion para la Libertad de Prensa,no
Fundación para las Relaciones Internacionales y el Diálogo Exterior,no
Fundacion Paz - Holandesa,private
Fundacion Promocion Social de la Cultura,private
Funksjonshemmedes fellesorganisasjon,private
Future of Orphans,no
FXB -  François-Xavier Bagnoud,no
G.havanbedrijf Antwerpen,no
GAAC,no
Gabon,no
Gaddafi InterNational Charity and Development Foundation (GICDF),private
Galicia Humanitarian Agency Foundation,no
Gamarra's Merchant Commission,private
Gambia,no
Gap Inc.,private
GAPAR - Syrian General Authority for Palestine Arab Refugees,no
Gargaaar Relief and Development Organization,no
GAVI Alliance,no
Gaza Community Mental Health Programme,no
Gaza Zakat Committee,no
GCIDS,no
GDPI,no
GE Foundation,private
GEA Society,private
GEAD,no
GECONKFOR/CIMIC,no
Gedo Women Development Organization,no
Gemeinnützige Entwicklungszusammenarbeit GmbH (GEZA),no
Gender Education Empowerment and Leadership Organization,no
General Administration for Palestinian Arab Refugees,no
General Electric,private
General Mills Foundation,private
General Motors Foundation,private
General Secretariat of Awkaf,no
General Service Agency,no
Genesis Software,private
Geneva Call,no
Geneva Forum,no
Geneva Institute for Human Rights,no
Geneva InterNational Centre for Humanitarian Demining,no
GenNX360,private
GeoForschungsZentrum Potsdam,no
Geohazards InterNational,no
"GeoLogistics Services, Inc.",private
Georg Dechentreiter Wohlfahrtsstiftung,private
Georg Fischer (Clean Water Foundation),private
Georgia,no
Georgian Red Cross,no
Gerdau Ameristeel,private
German Development Service,no
German Doctors for Developing Countries,no
German Embassy in Bangladesh,no
German Embassy Sofia,no
"German medical aid organisation ""action medeor""",no
German Mission Herat,private
German Red Cross,no
German Relation Office Ramallah,no
Germany,no
GESA -  Gesundheitshilfe Afghanistan e.V,no
GFC,no
Ghana,no
Giant Food Stores,private
"Gibson, Dunn & Crutcher ",private
"Gift of the Givers Foundation (Pietermaritzburg, RSA)",private
Gifts in kind InterNational,no
GIGnos (consulting company),private
Girls are a Treasure Network,no
Give World,private
Give2Asia,private
GKST - Presbyterian Christian Church of Central Sulawesi,private
GlaxoSmithKline,private
Glencree Centre for Peace and Reconciliation,no
GLIA Initiative Project HIV/AIDS,no
Global 2000 of the Carter Centre,no
Global Aid Network,no
Global Alliance for Improved Nutrition,no
Global Centre for the Responsibility to Protect,no
Global Children Foundation,private
Global Communities,no
Global Compact,no
Global Earthquake Model Foundation,private
Global Editors Network,private
Global Facility for Disaster Risk Reduction,no
Global Facility for Disaster Risk Reduction ,no
Global Fire Monitoring Centre,no
Global Food Crisis Fund,no
Global Forum for Media Development,private
Global Forum on Migration and Development,private
Global Fund,no
Global Fund for TB/HIV/AIDS Programme,no
"Global Fund to Fight AIDS, Tuberculosis and Malaria",no
Global H20,no
Global Health Foundation,private
Global Hope Network InterNational,private
Global Human Rights Defence,no
Global Humanitarian Forum,private
Global Initiative to End All Corporal Punishment of Children,no
Global Links,no
Global Medic,private
Global Network of Civil Society Orgs,private
Global One 2015,no
Global Partners,no
Global Public Policy Institute,no
Global Recruitment Fund,no
Global Reporting Initiative,no
Global Resource Services,no
Global Rights,no
Global Thematic Partners,private
GlobalGiving,no
GlobalMedic,no
GMAC,no
GMC Services,private
Go Daddy,private
GOAL,no
GOAL/IRC,no
Gobi Regional Economic Growth Initiative,no
Goddard Enterprises Limited,private
Golden Heart Fund,no
Goldman Sachs Group ,private
Golweyne Relief and Rehabilitation,no
Gol-yome Rehabilitation and Development Organization,no
Good Neighbours Inc,no
Goodrich Corporation,private
Google,private
GORTA,no
Govt of Bosnia & Herzegovina Mine Detection Dog Centre,no
Govt of Ethiopia Disaster Prevention and Preparedness Commission,no
Govt of Indonesia: Bidan Kesehatan Department of Health,no
Govt of Indonesia: Department of Settlement and Regional Infrastructure (Kimpraswil),no
"Goya Foods, Inc.",private
Grand Circle Foundation,private
Grant Foundation,private
Grass Technologies,private
Great Family Organization,private
Great Lakes Initiative Project HIV/AIDS,no
Greece,no
Greece Red Cross,no
Greek Committee For InterNational Democratic Solidarity,no
"Greek Embassy, Tehran",no
"Greek Orthodox Ladies Philoptochos Society, Inc.",no
Greek Orthodox Patriarchate of Antioch and all of the East,no
Green Cross,no
Green Hope,no
"Green Mountain Coffee Roasters, Inc.",private
Greenshields Cowie,private
Grenada,no
GRET,no
"GRONSUND, STEIN OVE",private
Groupe d’Action pour la Promotion de la Femme,no
Groupe de Recherche et de Réalisations pour le Développement Rural,no
Groupe de Recherche et d'Echanges Technologiques,private
GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES,private
Groupe de Secours Catastrophes Francais,no
Groupe La Colombe,private
GROUPE URD,no
Groupement des Artisans ruraux d’INTADENE-GARI,no
Groupement Ingenieria Estrella,no
GRSP - Ghazni Rural Support Program - Afghanistan,no
GRT,no
Grünhelme,no
Grupo Col. - Suisse,no
Grupo Pão de Açúcar,private
Gruppo per le Relazioni Transculturali,no
Gruppo Volontariato Civile,no
Guatemala,no
"Guatemala General Council in Miami, Florida",no
Guatemalan Red Cross ,no
Guilde du Raid,no
Gulf Coast Community Foundation of Venice,private
Gulf Cooperation Council,no
Guyana,no
Guyana Red Cross,no
Guyana Red Cross Society,no
Gynécologie sans frontières,no
Gyro AS,private
HA + SHA / IOM,no
Habitat for Humanity InterNational,no
Hadia Medical,no
Haiti,no
Haiti Red Cross,no
Haitian Health Foundation,private
Haitian National Red Cross Society,no
Haitian Women of Miami,private
Hakima,no
Halo Partnership,no
HALO Trust,no
Halte Aux Mines Antipersonnel ,no
Hammer Forum e.V,no
HAMOKED/CNTR DEF.OF INDIVIDUAL,no
"Hand in Hand Appeal, Syria",no
Handicap Atlas Logistique,no
Handicap InterNational,no
Handicap InterNational Belgium,no
Handicap InterNational France,no
Handicap International Luxembourg,no
Handicap International USA,no
Handicap InterNational/France,no
Hands Off Cain,no
Hands Together,no
Hanesbrands ,private
Harikar,no
Harland Clarke Holdings,private
Harris Teeter,private
HARRODS GROUP,private
Hartford Financial Services Group,private
Hartford Financial Services Group,private
Harvard University,no
Hashemite Charity Organization of Jordan,no
Haukari e.V,no
Haut Comité de Secours libanais,no
Have It Your Way Foundation,private
Haven,private
Hawaiian Electric Co.,private
Hayat Foundation,no
HBN,private
HCC-Humanitäre Nothilfeprogramme weltweit,no
HCS,no
Heal Africa,private
Health Alliance InterNational,no
Health and Environment Development Society ,no
Health and Human Rights Info,private
Health And Nutrition Development Society,no
Health Limited,private
Health Link South Sudan,no
Health Net Inc.,private
Health Partners InterNational Canada,no
Health Poverty Action,no
HEALTH UNLIMITED,no
"Health, Development, Information and Policy Institute",no
Healthnet InterNational - Malaria Leishmaniasis Control Programme,no
HealthNet InterNational Transcultural Psychosocial Organisation,no
Healthworkers Community ,private
Heart Doctors,no
Heartland Alliance for Human Needs & Human Rights,no
Heartland Alliance International,no
Heart-to-Heart,no
H-E-B,private
Hebrew Immigrant Aid Society,no
Hedwin Corporation,private
Heilsarmee,private
Heinrich Böll Foundation,private
HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,no
Helen Keller InterNational,no
Helfende Hände e.V.,no
Hellef fir Rosario,no
Hellenic Red Cross,no
Hellenic Rescue Team,no
HELP,no
HELP e.V.,no
Help for school,no
Help In Need,no
Help the Aged,no
HelpAge InterNational,no
HelpAge International UK,no
Helpage Programme - RD Congo,no
Helping Hand for Relief & Development,no
Helping Hand for Relief and Development,no
Helping Hands,private
Helse Bergen HF,no
HELVETAS,no
HEMCO,private
Henry Schein Inc.,private
Heritage Foundation,no
Heshima Kenya,no
Hess Corporation,private
Hewlett-Packard Company Foundation,private
HHB,no
HH-SKH,no
HIAS RefugeeTrust,no
Hidaya Rehabilitation Corporation for Special Need,no
Hijra,private
Hilfe fur Kinder in Not e.V,no
Hilfe zur Selbsthilfe e.V.,no
Hilfsgemeinschaft Lippe e.V,no
Hilfswerk Austria InterNational,no
Hilfswerk Liechtenstein,no
Hilina Enriched Food Processing Center PLC,private
Hillman Family Foundations,private
Hilton Worldwide,private
Himalayan Human Rights Monitors,no
Himilo Organization for Development,no
Himilo Relief and Development Association,no
Hiran Water Supply and Community Development Organisation,private
Hiran Women Action on Advocay for peace & Human Rights,no
Hirondelle Radio Okapi,private
"Hitachi America, Ltd.",private
HIVOS,no
HNA Group,private
Hoffnungszeichen - Sign of Hope e.V,no
Hogar de Cristo Santiago,no
Høgskolen i Oslo,no
Hold the Child Organisation,no
Holistic Management,no
Holt InterNational Childrens Services,no
Holy See,no
Home Depot Foundation,private
Home for Human Rights,no
Honda,private
Honduran Red Cross,no
Honduras,no
Honduras Comité Permanente de Contingencias,no
Honduras Red Cross,no
Honeywell,private
Hong Kong Red Cross,no
Hong Kong Special Administrative Region of the People's Republic of China,no
HOPE,no
Hope for the Horn,no
Hope in Action,no
Hope International Development Agency,no
Hope Worldwide,no
HOPE'87,no
Hopital Albert Schweitzer,no
Hôpital de la Charité d'Oulan-Bator,no
Hôpital Français de Hanoï,private
Hôpital Saint-Joseph,private
Hopital sans Frontières,no
Horizon Foundation for New Jersey,private
Horizont 3000,no
Horizonte Logico,no
Horn of Africa Organization for Protection of Environment and Improvement of Livelihoods,no
Horn Relief,no
Horn-Aid Kenya,no
Horsed Relief and Development Organization,private
Hospital Corporation of America,private
Hospital Hermanos Ameijeiras,no
Housing and Property Directorate,no
Howard Buffet Foundation,private
Høyskolen i Buskerud,no
Høyskolen i Oslo,no
HRG Hogg Robinson Nordic AS,private
Hrúz,private
HSBC,private
HSBC Bank Middle East Limited,private
Huairou Commission,no
Hudec Sedec,private
Hudson's Bay Company,private
Human Appeal InterNational,no
Human Care InterNational,no
Human Concern InterNational,no
Human Development Foundation,private
Human Help Network e.V.,no
Human Moral Care,no
Human Resources Development Agency,no
Human Right Center in Iraq,no
Human Rights and Humanitarian Assistance Foundation,private
Human Rights Division of the United Nations Mission in Angola,no
Human Rights Foundation,no
Human Rights House Foundation ,private
Human Rights Watch,no
Humana Foundation,private
Humane Society of the United States,no
Humanitäre Hilfe für,no
Humanitarian Accountability Partnership InterNational,no
Humanitarian Action for Relief and Development Organisation,no
Humanitarian Action for the People Afghanistan,no
Humanitarian Africa Relief Development Organization,private
Humanitarian Aid and Development Organization,no
Humanitarian Aid Commission,no
Humanitarian Aid Relief Trust,no
Humanitarian Cargo Carriers,no
Humanitarian Forum,private
Humanitarian Forum Indonesia,no
Humanitarian Initiative Just Relief Aid Organizaiton,no
Humanitarian Initiative Just Relief Aid Organization,no
Humanitarian Outcomes,no
Humanitarian Policy and Conflict Research,no
Humanitarian Policy Group,no
Humanitarian Relief Foundation,no
HumaniTerra InterNational,no
Humanity Brotherhood Association  for Human Rights,no
Humanity First,no
Humanity First USA,no
Humedia InterNational,no
Humedica,no
Hungarian Baptist  Aid Organisation,no
Hungarian Interchurch Aid,no
Hungarian Malteser Charity Service,no
Hungarian Red Cross,no
Hungary,no
Hungary Red Cross,no
Hunger Alert,no
Hydration Technology Innovations,private
"Hyogo Prefecture, Japan",no
Hyundai Motor Company,private
Hy-Vee Inc.,private
IAM - InterNational Assistance Mission ,no
Ibdesch Patenschaften,no
"Ibero-American States Organization for Education, Science & Culture",no
IBIS,no
IBM,private
IBN SINA,private
Ibon Foundation,private
ICASE,private
ICCO - Interchurch organisation for development co-operation,no
ICDO - InterNational Civil Defence Organisation ,no
ICDP - InterNational Child Development Programme,no
Iceland,no
Iceland Red Cross,no
Icelandic Church Aid,private
Icelandic Crisis Response Unit,no
Icelandic Red Cross,no
ICI Pakistan,private
ICIMOD,no
ICMA - InterNational City/County Management Association,no
ICMPD/IOM,no
ICU,no
IDDEALES,private
IDE Myanmar,no
IDRC,no
IFRC Disaster Relief Emergency Fund,no
IFTIIN Education and Development Association,no
IGAD Partnership Forum,no
Igarapé,no
IHI - InterNational Humanitarian Initiative,no
IHS,no
IICD - InterNational Institute for Communication and Development,private
IIDA Women's Development Organization,no
Iimaan Relief and Development Organization,no
IKEA Foundation,private
I-LIFE,no
ILP-InterNational Law and Policy Group,no
ILR,no
IMA,no
Impact Forum Norway,no
Imperial College,no
Inasmuch Foundation,private
INDE - Intercooperaçao e Desenvolvimento (Portuguese NGO),no
Independent Commission for Human Rights,private
Indesch Patenschaften,no
India,no
India Red Cross,no
Indian Red Cross Society,no
Indivduell Mànniskohjàlp - Swedish NGO,no
Indonesia,no
Indonesia Red Crescent,no
Indonesian Farmers Funds,no
Indonesian Humanitarian Committee,private
Indonesian Red Crescent Society,no
INDONESIA-PALESTINE FRIENDSHIP INITIATIVE,no
Indus Resource Centre,private
Industri Energi (fagforbundet),private
INETER,no
Infineon Technologies,private
InfoAsAid,private
INFONOR,no
Information Management and Mine Action Programs,private
"Information Technology Outreach Services, U of Georgia",no
ING Group Disaster Relief Fund,private
Inglesia Morava,private
Initiativ for Etisk Handel,no
Initiative Congolaise pour la Gestion autonome des populations,no
Initiative Development,private
Initiative Developpement,private
Initiative Développement,private
Initiative Dritte Welt Braunau,no
Initiative for Change,no
Initiative for Development and Empowerment Axis,private
INMED Partnership for Children,no
Innovasjon Norge,private
Innovative Development Organization,no
Inprosula,private
Insan Association,no
INST. UNIV. DE HAUTES ETUDES INT.,no
Institut Menzingen,no
Institute for Human Rights and Business,no
Institute for InterNational Co-operation and Development,no
Institute for InterNational Social Affairs,no
Institute for War and Peace Reporting,no
Institute of Cultural Affairs Japan,no
Institute of Development Studies,no
"Institute of Human Rights Communication, Nepal ",no
Institute of Water and Environment,private
Instituto Cabo Verdiano de Accao Social Escolar,no
Instituto Colombiano de Bienestar Familial,no
Instituto de Directores de Mocambique,private
Instituto de Estudios del Hambre ,no
Instituto Dominicano de Desarrollo Integral ,private
Instituto Sou da Paz,no
Institutt for Journalistikk,no
Institutt for Sosiologi og Samfunnsgeografi,no
Integra LifeSciences Holdings Corporation,private
Integrated Health Services,no
Integrated Regional Information Network,no
Integrated Rural Development and Nature Conservation,no
Integrated Sustainable Livelihoods,no
Integrationsrat,no
Intel,private
Inter Aide,no
Inter Américain de Coopération Agricole ,no
Inter Cooperation,no
Inter Press Service,private
Inter Religious Council,no
InterAct,no
InterAction,no
Interaction in Development Foundation,no
Inter-Actions,no
Inter-American Development Bank,no
Intercare,no
Interchurch Medical Assistance,no
Interchurch Organisation for Development Co-operation,no
Intergov Authority on Development,no
Intergov Authority on Development ,no
Inter-Governmental Agency on Development,no
Intergovernmental Organization,no
Interkerkelijke Organisatie voor Ontwikkelingssamenwerking,no
INTERMON,no
Intermon Oxfam,no
InterNational Action Network on Small Arms,no
InterNational Agricultural Research Center,no
InterNational Aid,no
InterNational Aid Hand,no
InterNational Aid Services,no
InterNational Aid Services Denmark,no
InterNational Air Transport Association,private
InterNational Alert,no
InterNational Alliances,no
InterNational Assistance Mission,no
InterNational Association for Maternal and Neonatal Health ,no
InterNational Bank for Reconstruction & Development (World Bank),no
InterNational Business Leaders Forum,private
InterNational Campaign to Ban Landmines,no
InterNational Catholic Migration Commission,no
InterNational Center for Agricultural Research in Dry Areas ,no
InterNational Center for Integrated Mountain Development,no
"InterNational Centre for Diarrhoeal Disease Research, Bangladesh",no
InterNational Centre for Migration Policy Development,no
InterNational Centre for Transitional Justice,no
InterNational Cities of Refuge Network,private
InterNational Civil Defense Organisation,no
InterNational Coalition to Ban Uranium Weapons,no
InterNational Commission Against Impunity,no
International Commission against the Death Penalty - ICDP,no
InterNational Commission of Jurists,no
InterNational Commission on Missing Persons,no
InterNational Committee for the Development of Peoples,no
InterNational Committee of the Red Cross,no
InterNational Corn Foundation,private
InterNational Council of Voluntary Agencies,no
InterNational Council on Human Rights Policy,no
InterNational Criminal Court,no
InterNational Criminal Police Organization - INTERPOL,private
InterNational Criminal Tribunal for Rwanda,no
InterNational Crisis Group,no
InterNational Dalit Solidarity Network,no
InterNational Development and Relief Foundation,no
InterNational Development Enterprises,no
InterNational Development Law Organisation,no
InterNational Dispensary Association,private
InterNational Emergency and Development Aid,no
InterNational Emergency and Development Aid Relief,no
InterNational Federation of Human Rights,no
InterNational Federation of Journalist,private
InterNational Federation of Journalists,private
InterNational Federation of Red Cross and Red Crescent Societies,no
InterNational Foundation for Education and Self Help,private
InterNational Foundation for Election Systems,private
InterNational Fund for Agricultural Development ,no
InterNational Health Partners,no
InterNational HIV/AIDS Alliance,no
InterNational Human Rights Law Group,no
InterNational Humanitarian City,no
InterNational Humanitarian Fact-Finding Commission,no
InterNational Humanitarian Fund LIBA,no
InterNational Humanitarian Partnership,no
InterNational Humanitarian Service,no
InterNational Humanitarian Service ,no
InterNational IDEA,no
International Initiative for Impact Evaluation (3ie),no
InterNational Institute for Democracy and Electoral Assistance - InterNational IDEA,no
InterNational Institute of Humanitarian Law,no
InterNational Institute of Rural Reconstruction ,no
InterNational Institute of Tropical Agriculture,no
InterNational Institute of Tropical Agriculture ,no
International Islamic Charitable Organization,no
InterNational Islamic Charity Organization,no
InterNational Islamic Relief,no
International Islamic Relief Organization,no
InterNational Labour Organization,no
InterNational Lifeline Fund,private
